"Hash","Message","Hashes of parents","Is a merge commit?","List of modified files"
"d50aec932942e3bfbb6e3fad6a2bc8422a68185a","fix dependencies","b12d7e53bc27951cabb3d1eeead0f5a15ff93b14","False","README.md"
"aeb984d84127ea947a6095355920c7c9794fd307","fix mac chrome dependency","9bce8f4c8be4f31814daf7b48feb6fbb5026de32","False","README.md"
"56fe146f907665a284d5de630130f19fdc7bcae3","typo fix","4a3de27b8120ca2a5abb114d3335ff248f3a40ec","False","README.md"
"cbd53183565e4dde318dc264696ab07f42162aeb","fix canary/beta  on mac/linux","05ea4e1ec98389b3b0df7e0a501eed2f34993547","False","README.md"
"19a7c2bc2fbef9a7bd02868a5e73acc96b76dcf1","fix chrome symlink issue for mac","8b6e5e11e764d0139c71c91729c61c8dd93d2429","False","README.md"
"084d5aba1bde0fc942fb3092875644bf1916e70f","fix bash escape","19a7c2bc2fbef9a7bd02868a5e73acc96b76dcf1","False","README.md"
"f6149af5a9de7b6093677a568e420b887e471341","Fix name typo in debug when no links found","2ca21b415f02f93fe2b2355f6c6e97bdf969a69a","False","archive.py"
"ab3fc13decf36b62b9d44d1cbcb88647ba4ae5cc","Fix default parameters parsing","f6149af5a9de7b6093677a568e420b887e471341","False","archive.py"
"055eb6f446942b25ac4a39f59498d7ba4bd5f8cb","Merge pull request #9 from Neavend/master

Fix default parameters parsing and typo in logs when no links found","2ca21b415f02f93fe2b2355f6c6e97bdf969a69a;ab3fc13decf36b62b9d44d1cbcb88647ba4ae5cc","True","archive.py"
"3b957ba7bff2efcc2dadb3fcbe0b598ff49385ea","Merge pull request #10 from geirolav/patch-2

Update README.md","055eb6f446942b25ac4a39f59498d7ba4bd5f8cb;86bc00081aee55fb7a45f73e59063d47252cbf4a","True","README.md;archive.py"
"92f7b399ca4d155bc2cb2e7fdd164e7533a3b8a0","readability url and title fixes","843d9893827b4f3f0fbc5770ebbb9a3d7f6148df","False","archive.py"
"be0abf11fde9724ca3f0f4d64913e80299133279","fix bookmarks command example","0d6e9e634170469829cd2fb4bab1ac254ee06d97","False","README.md"
"350803a4c8fa224232967647fb238f38858d7688","Merge pull request #20 from ilvar/issue-18-parse-browser-bookmarks

#18 - Parse browser bookmarks","be0abf11fde9724ca3f0f4d64913e80299133279;8488c57026bfc5378bd0035ad9dee8421b5f9449","True","README.md;archive.py"
"5c4f17f5ad8d91602c67d5dc9e27d80b24a3b992","Merge pull request #21 from ilvar/issue-18-rm-bs4-dependency

Removed BeautifulSoup from dependencies","350803a4c8fa224232967647fb238f38858d7688;666760fe06ce7b147835b7bced72cfe763bcc770","True","README.md;archive.py"
"fa79768f1e95e16f09e212d377085fd7f55aa1b4","fix unecessary re-wgetting of websites","c96c2eb2da1c8a562f1df3a525a02d3766b4c7e5","False","archive.py"
"2d8364a7c7e01c4b6ac7c135f289334d36ff079e","fix permissions, output html, and timeouts","a9d6a95c73d18fcdbcf1593c6cf22d34c90410a5","False","archive.py;index_template.html"
"5593c58a289b00d51c8c43436aa08ede33c2863b","fix out dir permissions","2d8364a7c7e01c4b6ac7c135f289334d36ff079e","False","archive.py"
"b00498dc42e279cad8d494d211c8869da42343fe","handle failing screenshots and PDFs better","3957bab0e972a86758454f7ed684ec9fe246dcb7","False","archive.py"
